Filename,Speaker,Group,Gender,Syl_Dur_Ratio,Vow_Dur_Ratio,Delta_Int_Mean,Delta_St_Mean
L1_04_03,L1_04,Native,Female,1.0757308087206012,0.3717292047903732,-0.9592528575772619,-0.36074879214136857
L1_04_02,L1_04,Native,Female,1.9369446878054992,0.7724524848923502,-5.905861507113755,-0.42464524797653525
L1_04_04,L1_04,Native,Female,1.1503959861609685,0.38373192437188247,-0.49834320520031383,-0.15205885414502518
L1_04_19,L1_04,Native,Female,1.0634756283836884,0.6566443207216252,-9.736236712245443,0.6169498307220209
L1_04_18,L1_04,Native,Female,1.2931380409076036,0.6268139314578882,-0.5597402678878325,0.41401883161160846
L1_04_13,L1_04,Native,Female,1.736636343132092,0.9306724243375061,-3.10916819970182,-0.21606029735094978
L1_04_12,L1_04,Native,Female,3.149298663570538,0.8383087686067777,5.234246853425184,4.370118463300759
L2_02_01,L2_02,Learner,Male,2.9064681880350167,1.335839740346758,-1.4690871156406544,0.21423398539013094
L2_02_16,L2_02,Learner,Male,1.2015989715158084,1.163289892655519,0.313346655622496,3.523419270940114
L2_02_17,L2_02,Learner,Male,1.1412104872426065,0.972003222502014,1.1858262628901386,2.5123617238616536
L2_02_10,L2_02,Learner,Male,2.311749561947609,0.7924480514034936,-5.994668436612599,1.705896349683817
L2_02_06,L2_02,Learner,Male,1.5913841206790567,1.1669382387095175,-0.7264860328047007,2.602016640558846
L2_02_07,L2_02,Learner,Male,1.9572186152989386,1.1765309126051309,-4.335937718379526,3.7033609973015524
L2_02_20,L2_02,Learner,Male,0.9750037096947548,0.820103770627119,-1.6467209774172744,1.1790109176039785
L2_02_15,L2_02,Learner,Male,1.1940876555444515,0.9492803125445188,-1.5200283693205279,2.866080983187539
L2_02_14,L2_02,Learner,Male,3.679339020400111,3.3798501903419997,0.7403955778148585,1.4084214036718596
L2_02_08,L2_02,Learner,Male,2.2422035726422243,1.2901150896683042,-2.6342968120246297,2.7458379433569577
L2_02_09,L2_02,Learner,Male,0.7787156356633695,0.679162155938741,-0.9626530334673689,3.2325579121122683
L2_02_02,L2_02,Learner,Male,1.6338434469644214,1.1713073297852306,-5.893675825952805,-2.3798472952417518
L2_02_03,L2_02,Learner,Male,1.1502615842755162,0.34264858436835127,-5.266793354778727,0.2533572299435587
L2_02_05,L2_02,Learner,Male,2.4224074441913426,3.67905456728203,-7.022547683922156,3.316673459042077
L2_02_04,L2_02,Learner,Male,1.3488063092023452,0.42509758216212995,-3.9130859467487937,1.0679685802773102
L2_02_18,L2_02,Learner,Male,1.179164142301139,0.40077959120310636,-4.346906705648394,0.17558094688871062
L2_02_19,L2_02,Learner,Male,1.5748269498161436,1.0918174665598352,-4.3673643820087165,1.2316247798330329
L2_02_12,L2_02,Learner,Male,2.2078696372167594,0.7839336098606955,0.195656187329746,1.7708914871701245
L2_02_13,L2_02,Learner,Male,1.6548389646922492,1.0972217139789704,-2.347185439200004,1.7601107898196267
L1_01_17,L1_01,Native,Male,0.9360654713482115,0.5148995506283626,-1.8614880352276657,3.0013847038633186
L1_01_16,L1_01,Native,Male,1.1077518987796138,0.8270608802635612,1.5350717943974175,1.7107612254178952
L1_01_01,L1_01,Native,Male,1.508642269753248,1.1509309921463406,-0.9294278657594433,0.7788722365189553
L1_01_07,L1_01,Native,Male,1.7835250138069698,0.6622044337899256,0.018365933738273554,0.32080977204113825
L1_01_06,L1_01,Native,Male,0.7272485088935005,2.194291033076204,-1.769816835909765,4.1733391989880815
L1_01_10,L1_01,Native,Male,3.524679811986733,1.5027866964622503,-0.24171737031564788,0.7097219476916599
L1_01_11,L1_01,Native,Male,1.4995060946619037,0.47806069053143757,0.5205131814106068,2.1196720134042004
L1_01_03,L1_01,Native,Male,1.3806420782831565,0.4319261946689068,0.6178199720553152,5.091253515491616
L1_01_02,L1_01,Native,Male,1.587753330472645,0.8129199912836161,-0.10609172129804278,2.7886142700037144
